id,name,buildingId,floorId
14613,a229-113a2-clwf-a229,10093,13341
14614,g234-113g2-clwa-g234,10093,13340
14615,a235-113a2-clwa-a235,10093,13341
14616,g242-113g2-clwa-g242,10093,13340
14617,g244-113g2-clwa-g244,10093,13340
14618,c249-113c2-clwa-c249,10093,13342
14619,g302-113g3-clwa-g302,10093,13340
14620,g306g-113g3-clwa-g306g,10093,13340
14621,a307-113a3-clwa-a307,10093,13341
14622,g308-113g3-clwa-g308,10093,13340
14623,g308hall-113g3-clwa-g308Nhall,10093,13340
14624,a309-113a3-clwa-a309,10093,13341
14625,g318-113g3-clwa-g318,10093,13340
14626,g319-113g3-clwa-g319,10093,13340
14627,g413-113g4-clwa-g413,10093,13340
14628,g413hall-113g4-clwa-g413hall,10093,13340
14629,g458-113g4-clwa-g458,10093,13340
14630,g474-113g4-clwa-g474,10093,13340
14631,g480-113g4-clwa-g480,10093,13340
14632,100-2001-clwa-100,10021,13343
14633,100-2001-clwb-100,10021,13343
14634,100-2001-clwc-100,10021,13343
14635,100-2001-clwd-100,10021,13343
14636,100-2001-clwe-100,10021,13343
14637,100-2001-clwf-100,10021,13343
14638,107-2011-clwa-107,10023,13224
14639,120-2011-clwa-120,10023,13224
14640,122-2011-clwa-122,10023,13224
14641,155a-2011-clwa-155a,10023,13224
14642,220A-2012-clwa-220A,10023,13344
14643,220B-2012-clwa-220B,10023,13344
14644,220A-2012-clwb-220A,10023,13344
14645,220B-2012-clwb-220B,10023,13344
14646,228-2012-clwa-228,10023,13344
14647,238-2012-clwa-238,10023,13344
14648,308-2013-clwa-308,10023,13225
14649,340-2013-clwa-340,10023,13225
14650,408-2014-clwa-408,10023,13226
14651,442-2014-clwa-442,10023,13226
14652,506-2015-clwa-506,10023,13227
14653,558-2015-clwa-558,10023,13227
14654,569hall-2015-clwa-569hall,10023,13227
14655,610-2016-clwa-610,10023,13228
14656,640-2016-clwa-640,10023,13228
14657,706-2017-clwa-706,10023,13229
14658,762-2017-clwa-762,10023,13229
14659,105-2021-clwa-105,10022,13345
14660,117-2021-clwa-117,10022,13345
14661,119-2021-clwa-119,10022,13345
14662,122-2021-clwa-122,10022,13345
14663,129-2021-clwa-129,10022,13345
14664,140-2021-clwa-140,10022,13345
14665,145-2021-clwa-145,10022,13345
14666,152-2021-clwa-152,10022,13345
14667,155-2021-clwa-155,10022,13345
14668,159-2021-clwa-159,10022,13345
14669,162-2021-clwa-162,10022,13345
14670,168-2021-clwa-168,10022,13345
14671,171-2021-clwa-171,10022,13345
14672,206-2022-clwa-206,10022,13346
14673,228-2022-clwa-228,10022,13346
14674,228-2022-clwb-228,10022,13346
14675,248-2022-clwa-248,10022,13346
14676,248-2022-clwb-248,10022,13346
14677,270-2022-clwa-270,10022,13346
14678,270-2022-clwb-270,10022,13346
14679,290-2022-clwa-290,10022,13346
14680,290-2022-clwb-290,10022,13346
14681,436-2024-clwa-436,10022,13347
14682,100-2031-clwa-100,10025,13348
14683,101-2031-clwa-101,10025,13348
14684,102-2031-clwa-102,10025,13348
14685,103-2031-clwa-103,10025,13348
14686,101-2101-clwa-101,12518,13231
14687,101-2101-clwb-101,12518,13231
14688,112-hall-2101-clwa-112-hall,12518,13231
14689,126-2101-clwa-126,12518,13231
14690,143-2101-clwa-143,12518,13231
14691,160-2101-clwa-160,12518,13231
14692,206f-hall-2102-clwa-206f-hall,12518,13349
14693,226j-hall-2102-clwa-226j-hall,12518,13349
14694,256-hall-2102-clwa-256-hall,12518,13349
14695,272-hall-2102-clwa-272-hall,12518,13349
14696,303-hall-2103-clwa-303-hall,12518,13350
14697,310-2103-clwa-310,12518,13350
14698,315-2103-clwa-315,12518,13350
14699,340-2103-clwa-340,12518,13350
14700,353-hall-2103-clwa-353-hall,12518,13350
14701,366-hall-2103-clwa-366-hall,12518,13350
14702,100-2121-clwa-100,10053,13351
14703,100-2121-clwb-100,10053,13351
14704,100-2121-clwc-100,10053,13351
14705,100-2121-clwd-100,10053,13351
14706,100-2121-clwe-100,10053,13351
14707,100-2121-clwf-100,10053,13351
14708,100-2121-clwg-100,10053,13351
14709,100-2121-clwh-100,10053,13351
14710,218-2192-clwa-218,12539,13352
14711,112-2211-clwa-112,12519,13232
14712,116-2211-clwa-116,12519,13232
14713,117-2211-clwa-117,12519,13232
14714,121-2211-clwa-121,12519,13232
14715,122-2211-clwa-122,12519,13232
14716,215-2212-clwa-215,12519,13353
14717,223-2212-clwa-223,12519,13353
14718,232-2212-clwa-232,12519,13353
14719,318-2213-clwa-318,12519,13354
14720,350-2213-clwa-350,12519,13354
14721,410-2214-clwa-410,12519,13355
14722,414-2214-clwa-414,12519,13355
14723,416-2214-clwa-416,12519,13355
14724,108-2301-clwa-108,12540,13356
14725,204-2302-clwa-204,12540,13357
14726,102-2311-clwa-102,12541,13358
14727,201-2312-clwa-201,12541,13359
14728,109-2321-clwa-109,12542,13360
14729,111-2321-clwa-111,12542,13360
14730,112mdf-2321-clwa-112mdf,12542,13360
14731,100-2341-clwa-100,12543,13361
14732,114-2341-clwa-114,12543,13361
14733,163-2361-clwa-163,12544,13362
14734,167-2361-clwa-167,12544,13362
14735,171-2361-clwa-171,12544,13362
14736,172-2361-clwa-172,12544,13362
14737,175-2361-clwa-175,12544,13362
14738,171-3021-clwa-171,10078,13236
14739,174-3021-clwa-174,10078,13236
