"space_id","space_name","space_type","building_id","floor_id","lattitude","longitude"
456,"4",Floor,130,,,
432,"4",Floor,22,,,
327,"3",Floor,26,,,
245,"1",Floor,60,,,
280,b,Floor,79,,,
182,b,Floor,17,,,
451,"4",Floor,30,,,
392,"1",Floor,117,,,
454,"2",Floor,130,,,
405,"1",Floor,124,,,
329,"5",Floor,26,,,
446,"3",Floor,129,,,
388,"2",Floor,115,,,
167,b,Floor,6,,,
274,"2",Floor,76,,,
360,"4",Floor,68,,,
402,"4",Floor,51,,,
266,"1",Floor,72,,,
183,"1",Floor,18,,,
215,"1",Floor,38,,,
189,"1",Floor,19,,,
431,"3",Floor,22,,,
331,"7",Floor,26,,,
174,"1",Floor,13,,,
180,"1",Floor,15,,,
382,"1",Floor,112,,,
257,"2",Floor,67,,,
356,"1",Floor,106,,,
325,"4",Floor,25,,,
181,"1",Floor,16,,,
371,"5",Floor,109,,,
401,"3",Floor,51,,,
460,"2",Floor,132,,,
199,"1",Floor,28,,,
471,"3",Floor,133,,,
440,"3",Floor,128,,,
200,"1",Floor,29,,,
333,"9",Floor,26,,,
459,"1",Floor,132,,,
191,"1",Floor,21,,,
170,-,Floor,9,,,
426,"5",Floor,71,,,
472,"4",Floor,133,,,
231,"1",Floor,51,,,
385,"1",Floor,114,,,
203,"1",Floor,30,,,
307,"2",Floor,86,,,
368,"2",Floor,109,,,
190,"1",Floor,20,,,
422,"1",Floor,71,,,
521,"1",Floor,154,,,
367,"1",Floor,109,,,
477,"2",Floor,134,,,
491,"2",Floor,53,,,
397,"2",Floor,120,,,
341,"1",Floor,100,,,
515,"1",Floor,151,,,
241,"2",Floor,57,,,
366,"2",Floor,108,,,
457,"5",Floor,130,,,
414,"3",Floor,6,,,
478,"3",Floor,134,,,
311,"3",Floor,20,,,
168,"1",Floor,7,,,
393,"2",Floor,118,,,
452,"5",Floor,30,,,
437,"5",Floor,27,,,
262,b,Floor,71,,,
513,"1",Floor,150,,,
224,"1",Floor,44,,,
411,"3",Floor,14,,,
312,"1",Floor,88,,,
160,"1",Floor,1,,,
345,"3",Floor,66,,,
500,"2",Floor,139,,,
475,"3",Floor,75,,,
467,"4",Floor,74,,,
370,"4",Floor,109,,,
509,"1",Floor,148,,,
499,"1",Floor,139,,,
165,t,Floor,4,,,
288,b,Floor,55,,,
305,"2",Floor,18,,,
208,"1",Floor,34,,,
220,"1",Floor,41,,,
346,"4",Floor,66,,,
465,"2",Floor,74,,,
415,"4",Floor,6,,,
336,"1",Floor,96,,,
489,"1",Floor,137,,,
229,"1",Floor,49,,,
263,"1",Floor,65,,,
253,"4",Floor,64,,,
448,"2",Floor,29,,,
303,c,Floor,17,,,
179,"4",Floor,5,,,
222,"1",Floor,42,,,
380,"1",Floor,111,,,
522,"1",Floor,155,,,
251,"2",Floor,64,,,
178,"3",Floor,5,,,
308,"4",Floor,86,,,
423,"2",Floor,71,,,
442,"5",Floor,128,,,
436,"4",Floor,27,,,
278,b,Floor,47,,,
410,"1",Floor,125,,,
427,"1",Floor,127,,,
264,"2",Floor,65,,,
482,"3",Floor,135,,,
176,"1",Floor,5,,,
301,g,Floor,17,,,
505,"2",Floor,144,,,
525,"1",Floor,158,,,
374,"1",Floor,77,,,
276,b,Floor,40,,,
184,"3",Floor,18,,,
419,"3",Floor,126,,,
334,"1",Floor,95,,,
192,"1",Floor,22,,,
248,"1",Floor,62,,,
468,"5",Floor,74,,,
335,"2",Floor,95,,,
351,"1",Floor,103,,,
162,"1",Floor,3,,,
438,"1",Floor,128,,,
494,"1",Floor,82,,,
395,"1",Floor,119,,,
406,"2",Floor,124,,,
201,"3",Floor,29,,,
281,"3",Floor,3,,,
450,"3",Floor,30,,,
504,"1",Floor,143,,,
169,"1",Floor,8,,,
291,"1",Floor,84,,,
221,"2",Floor,41,,,
343,"1",Floor,66,,,
213,"1",Floor,36,,,
383,"2",Floor,112,,,
256,"1",Floor,67,,,
387,"1",Floor,115,,,
173,"1",Floor,12,,,
340,"1",Floor,99,,,
310,"2",Floor,20,,,
164,"5",Floor,3,,,
223,"1",Floor,43,,,
254,"3",Floor,65,,,
244,"1",Floor,59,,,
252,"3",Floor,64,,,
412,"1",Floor,6,,,
350,"2",Floor,102,,,
476,"1",Floor,134,,,
265,b,Floor,30,,,
445,"2",Floor,129,,,
255,b,Floor,66,,,
516,"2",Floor,151,,,
193,"1",Floor,23,,,
171,b,Floor,10,,,
484,"2",Floor,47,,,
470,"2",Floor,133,,,
441,"4",Floor,128,,,
318,"2",Floor,90,,,
435,"3",Floor,27,,,
207,"1",Floor,33,,,
461,"1",Floor,73,,,
462,"2",Floor,73,,,
250,"1",Floor,64,,,
363,"1",Floor,35,,,
296,"2",Floor,63,,,
314,"2",Floor,21,,,
218,"2",Floor,40,,,
512,"1",Floor,149,,,
230,"1",Floor,50,,,
396,"1",Floor,120,,,
400,"2",Floor,51,,,
479,"4",Floor,134,,,
474,"2",Floor,75,,,
416,"5",Floor,6,,,
488,"3",Floor,136,,,
379,"2",Floor,110,,,
233,"1",Floor,53,,,
339,"1",Floor,98,,,
186,"5",Floor,18,,,
348,"1",Floor,101,,,
239,"1",Floor,56,,,
161,"1",Floor,2,,,
300,"6",Floor,63,,,
309,"1",Floor,87,,,
195,"1",Floor,25,,,
234,"1",Floor,54,,,
372,"2",Floor,39,,,
163,"2",Floor,3,,,
289,"1",Floor,83,,,
517,"1",Floor,152,,,
404,"1",Floor,123,,,
433,"5",Floor,22,,,
373,"3",Floor,39,,,
202,"4",Floor,29,,,
302,a,Floor,17,,,
267,"2",Floor,72,,,
420,"4",Floor,126,,,
324,"3",Floor,25,,,
353,"1",Floor,104,,,
286,"4",Floor,3,,,
209,"2",Floor,35,,,
390,"1",Floor,116,,,
421,"5",Floor,126,,,
285,b,Floor,82,,,
344,"2",Floor,66,,,
518,"1",Floor,153,,,
2228,"3700hall-6053-clwa-3700hall",Room,40,219,,
1173,g474-113g4-clwa-g474,Room,17,301,,
1071,"502-1115-clwa-502",Room,63,299,,
1798,"2311-2142-clwa-2311",Room,71,423,,
1200,"706-2017-clwa-706",Room,18,188,,
762,"100-0021-clwc-100",Room,64,250,,
2184,"1600-6051-clwc-1600",Room,40,217,,
615,auditorium-3251-clwa-auditorium,Room,29,200,,
1372,"190-4001-clwa-190",Room,66,343,,
1161,c249-113c2-clwa-c249,Room,17,303,,
2211,"3200hall-6053-clwd-3200hall",Room,40,219,,
593,phoenix-2041-clwb-phoenix,Room,19,189,,
1789,"5250-2135-clwa-5250",Room,126,421,,
1666,r304hall-8171-clwa-r304hall,Room,120,396,,
2525,"100-t201-clwg-100",Room,151,515,,
1171,g413hall-113g4-clwa-g413hall,Room,17,301,,
1107,a123-113a1-clwa-a123,Room,17,302,,
2265,"3104-6113-clwa-3104",Room,134,478,,
1587,"135b-6101-clwa-135b",Room,77,374,,
1913,"4120-3084-clwa-4120",Room,27,436,,
1195,"506-2015-clwa-506",Room,18,186,,
1411,"100-4111-clwf-100",Room,101,348,,
2317,"3036-7213-clwa-3036",Room,47,485,,
2400,"2400-8452-clwa-2400",Room,54,235,,
1439,"226-4152-clwa-226",Room,103,352,,
1441,"246-4152-clwa-246",Room,103,352,,
1452,"109-4501-clwa-109",Room,105,354,,
1250,"100-2121-clwf-100",Room,88,312,,
1646,"282hall-8022-clwa-282hall",Room,116,391,,
1732,"240-8392-clwc-240",Room,81,408,,
771,"210L-hwy-0022-clwa-210L-hwy",Room,64,251,,
1815,"4549-2144-clwa-4549",Room,71,425,,
1427,"114-4151-clwa-114",Room,103,351,,
1889,"2121-3082-clwa-2121",Room,27,434,,
1419,"140-4131-clwb-140",Room,102,349,,
1232,"126-2101-clwa-126",Room,20,190,,
709,left-ent-7111-clwa-left-ent,Room,45,225,,
1155,a229-113a2-clwe-a229,Room,17,302,,
2315,"3013-7213-clwa-3013",Room,47,485,,
1072,"509-1115-clwa-509",Room,63,299,,
1676,"426-8254-clwa-426",Room,51,402,,
1594,"243-6102-clwa-243",Room,77,375,,
2008,w2340hall-3212a-clwa-w2340hall,Room,129,445,,
2208,"3200hall-6053-clwa-3200hall",Room,40,219,,
2193,"2200-6052-clwb-2200",Room,40,218,,
1607,"443-6104-clwa-443",Room,77,377,,
969,b256hall-837b-clwa-b256hall,Room,80,283,,
1637,"116-7261-clwa-116",Room,115,387,,
988,"4300-0084-clwa-4300",Room,3,286,,
1521,-602-5206b-clwa-602,Room,35,212,,
1448,"172hall-4231-clwa-172hall",Room,104,353,,
2516,-200-t112a-clwa-200,Room,150,514,,
1829,"1392-2151-clwa-1392",Room,127,427,,
2050,"2120-4022-clwa-2120",Room,130,454,,
1773,"2102-2112-clwa-2102",Room,6,413,,
2048,"1422-4021-clwa-1422",Room,130,453,,
870,"3500-0043-clwa-3500",Room,67,269,,
1793,"1507-2141-clwa-1507",Room,71,422,,
1337,"100-3051-clwb-100",Room,96,336,,
1516,-486-5204a-clwa-486,Room,35,210,,
2487,"1-ich1-clwa-01",Room,145,506,,
2384,"2062-8432-clwa-2062",Room,82,495,,
765,"120a-0021-clwa-120a",Room,64,250,,
674,hallway-6052-clwc-hallway,Room,40,218,,
1456,"201-4502-clwa-201",Room,105,355,,
651,lecture-6051-clwb-lecture,Room,40,217,,
984,"4100-0084-clwb-4100",Room,3,286,,
638,drumnorth-5205b-clwa-drumnorth,Room,35,211,,
841,"2000-0032-clwa-2000",Room,65,264,,
2437,"150-c001-clwb-150",Room,139,499,,
830,"1012hall-0031-clwa-1012hall",Room,65,263,,
1131,g203-113g2-clwa-g203,Room,17,301,,
2453,"200-c042-clwd-200",Room,139,500,,
1457,"218-4502-clwa-218",Room,105,355,,
633,drumnorth-5204b-clwa-drumnorth,Room,35,210,,
805,"220-0042-clwa-220",Room,67,257,,
2269,"3230-6113-clwa-3230",Room,134,478,,
1765,"1100-2111-clwa-1100",Room,6,412,,
2111,"5215-5035-clwa-5215",Room,74,468,,
1393,"441-4004-clwa-441",Room,66,346,,
2289,"2010-6532-clwa-2010",Room,135,481,,
616,eastwing-3253-clwa-eastwing,Room,29,201,,
1354,"117hallway-3231-clwa-117hallway",Room,100,341,,
2292,"2080-6532-clwa-2080",Room,135,481,,
1031,"126-0921-clwa-126",Room,4,290,,
798,"101hallway-0041-clwa-101hallway",Room,67,256,,
1182,"120-2011-clwa-120",Room,18,183,,
687,fitnesslab-6801-clwa-fitnesslab,Room,41,220,,
2075,"1100-4031-clwd-1100",Room,131,458,,
1465,"100-5011-clwH-100",Room,106,356,,
1431,"120-4151-clwb-120",Room,103,351,,
2277,"4100-6114-clwa-4100",Room,134,479,,
644,pippin-5291-clwa-pippin,Room,38,215,,
1226,"101-2031-clwa-101",Room,87,309,,
707,BusStop-7111-clwa-BusStop,Room,45,225,,
788,"430-0024-clwa-430",Room,64,253,,
907,G005-721b-clwc-G005,Room,47,278,,
1241,"315-2103-clwa-315",Room,20,311,,
1144,a220-113a2-clwc-a220,Room,17,302,,
682,lecture-6052-clwg-lecture,Room,40,218,,
1472,"140-5021-clwa-140",Room,68,357,,
2339,"1502-8201-clwa-1502",Room,79,490,,
1602,"351hall-6103-clwa-351hall",Room,77,376,,
1691,"141a-8351-clwa-141a",Room,124,405,,
1023,"5800-0085-clwa-5800",Room,3,164,,
1966,"3019-3143-clwa-3019",Room,128,440,,
2527,"200-t202-clwb-200",Room,151,516,,
2025,"3008-3253-clwa-3008",Room,29,201,,
1972,"3209-3143-clwa-3209",Room,128,440,,
1369,"164-4001-clwa-164",Room,66,343,,
675,lecture-6052-clwc-lecture,Room,40,218,,
2250,"1800-6111-clwc-1800",Room,134,476,,
1621,"284-6802-clwa-284",Room,41,221,,
2258,"2216-6112-clwa-2216",Room,134,477,,
2144,"1200-5191-clwh-1200",Room,75,473,,
1718,"140-8391-clwb-140",Room,81,407,,
1503,-129hall-5201b-clwa-129hall,Room,35,363,,
676,hallway-6052-clwd-hallway,Room,40,218,,
1149,a228-113a2-clwa-a228,Room,17,302,,
1768,"1100-2111-clwd-1100",Room,6,412,,
744,catwalk-9012-clwb-catwalk,Room,57,241,,
2133,-4302-5174b-clwb-4302,Room,133,472,,
815,trailer1-5221-clwa-trailer1,Room,37,214,,
686,buslot-6801-clwa-buslot,Room,41,220,,
1196,"558-2015-clwa-558",Room,18,186,,
1477,"174-5021-clwa-174",Room,68,357,,
